ID,Nombre,Salario,Departamento
1,Maria,5623,Finanzas
2,David,8164,Marketing
3,Pedro,4958,Recursos Humanos
4,Ana,9904,Recursos Humanos
5,Laura,4914,Recursos Humanos
6,Juan,6889,Recursos Humanos
7,Miguel,5591,Ventas
8,Carlos,4147,Finanzas
9,Luisa,8895,IT
10,Pedro,6573,Ventas
11,Pedro,7718,Ventas
12,Pedro,5369,IT
13,Juan,2939,IT
14,Juan,2525,Recursos Humanos
15,Carlos,8477,Ventas
16,Laura,2001,Marketing
17,Ana,2374,IT
18,Pedro,4340,IT
19,Maria,8980,Finanzas
20,Sofia,6005,Marketing
21,Maria,5052,Marketing
22,David,6648,IT
23,Maria,4365,Recursos Humanos
24,David,3525,Finanzas
25,Miguel,7947,Marketing
26,Sofia,6476,IT
27,Maria,3646,Marketing
28,Miguel,2013,Finanzas
29,Luisa,6599,Finanzas
30,Ana,4278,Ventas
31,Miguel,8104,IT
32,Ana,5155,Finanzas
33,Maria,2129,Ventas
34,Laura,5814,Ventas
35,Miguel,6933,Marketing
36,Sofia,5216,Marketing
37,Maria,4938,Ventas
38,Pedro,5928,Marketing
39,Juan,4040,Finanzas
40,Miguel,2027,Recursos Humanos
41,Sofia,4113,Finanzas
42,Luisa,9330,Ventas
43,Pedro,3252,Ventas
44,Luisa,6356,Finanzas
45,Maria,4046,Marketing
46,Juan,7568,Marketing
47,Miguel,7543,Ventas
48,Miguel,6555,IT
49,Laura,6023,Marketing
50,Laura,9843,Finanzas
51,Maria,6396,Marketing
52,Maria,9062,Finanzas
53,Juan,5374,Ventas
54,Laura,8430,Marketing
55,Sofia,5466,Finanzas
56,Sofia,5081,Ventas
57,Juan,5778,IT
58,Sofia,2629,Finanzas
59,David,2269,IT
60,Ana,4639,IT
61,Juan,3993,Recursos Humanos
62,Juan,7724,Marketing
63,Carlos,7897,Finanzas
64,Pedro,4891,IT
65,Pedro,6957,Recursos Humanos
66,David,5432,Ventas
67,Laura,3280,Finanzas
68,Maria,8276,IT
69,Maria,9443,Marketing
70,Luisa,7895,Recursos Humanos
71,David,7802,IT
72,Juan,9115,Marketing
73,David,8656,IT
74,David,4360,Finanzas
75,David,2575,Finanzas
76,Pedro,9029,Finanzas
77,David,8099,Recursos Humanos
78,Ana,3307,Finanzas
79,Maria,5192,Marketing
80,Luisa,5178,IT
81,Ana,8052,Ventas
82,Luisa,4734,Marketing
83,Carlos,8116,Marketing
84,Luisa,9371,Finanzas
85,Maria,4212,Recursos Humanos
86,Maria,4352,IT
87,David,5568,Recursos Humanos
88,Miguel,3655,IT
89,Carlos,3579,IT
90,Juan,7943,Recursos Humanos
91,Sofia,4203,Marketing
92,Luisa,3390,IT
93,Miguel,3742,Recursos Humanos
94,David,3925,IT
95,Pedro,2619,Ventas
96,Juan,3274,Marketing
97,Laura,2956,Finanzas
98,Miguel,3939,IT
99,Pedro,5953,Ventas
100,Carlos,4381,Finanzas
